Ticker,Security,GICS Sector,GICS Sub-Industry,Headquarters Location,Date added,CIK,Founded,Business_description,Greeness
CHRW,C.H. Robinson,Industrials,Air Freight & Logistics,"Eden Prairie, Minnesota",2007-03-02,1043277,1905,">ITEM 1. BUSINESS OverviewC.H. Robinson Worldwide, Inc. (“C.H. Robinson,” “the company,” “we,” “us,” or “our”) is one of the largest third party logistics companies in the world with consolidated total revenues of $15.3 billion in 2019. We provide freight transportation services and logistics solutions to companies of all sizes in a wide variety of industries. During 2019, we handled approximately 18 million shipments and worked with more than 119,000 customers. We operate through a network of offices in North America, Europe, Asia, Oceania, and South America. We have developed global transportation and distribution networks to provide transportation and supply chain services worldwide. As a result, we have the capability of facilitating most aspects of the supply chain on behalf of our customers. We have two reportable segments: North American Surface Transpor",0.0
CDNS,Cadence Design Systems,Information Technology,Application Software,"San Jose, California",2017-09-18,813672,1988,">Item 1. BusinessThis Annual Report on Form 10-K and the documents incorporated by reference in this Annual Report on Form 10-K contain statements that are not historical in nature, are predictive, or that depend upon or refer to future events or conditions or contain other forward-looking statements. Statements including, but not limited to, statements regarding the extent and timing of future revenues and expenses and customer demand, statements regarding the deployment of our products and services, statements regarding our reliance on third parties, and statements using words such as “anticipates,” “believes,” “could,” “estimates,” “expects,” “forecasts,” “intends,” “may,” “plans,” “projects,” “should,” “targets,” “will” and “would,” and words of similar import and the negatives thereof, constitute forward-looking statements. These statements are predictions based upon our current expectations about future events. Actual results could vary materially as a result of certain factors, including but not limited to those expressed in these statements. Important risks and uncertainties that could cause",0.0
CZR,Caesars Entertainment,Consumer Discretionary,Casinos & Gaming,"Reno, Nevada",2021-03-22,1590895,1973,">Item 1.  Business.
Eldorado Resorts, Inc., a Nevada corporation, is referred to as the “Company,” “ERI,” or the “Registrant,” and together with its subsidiaries may also be referred to as “we,” “us” or “our.”
Overview
We are a geographically diversified gaming and hospitality company with 23 gaming facilities in 11 states as of December 31, 2019. Our properties, which are located in Ohio, Louisiana, Nevada, New Jersey, Colorado, Florida, Iowa, Mississippi, Illinois, Indiana and Missouri, feature approximately 23,900 slot machines and video lottery terminals (“VLTs”) and e-tables, approximately 660 table games and approximately 11,300 hotel rooms. Our primary source of revenue is generated by gaming operations, and we utilize our hotels, restaurants, bars, entertainment, ",0.0
CPT,Camden Property Trust,Real Estate,Residential REITs,"Houston, Texas",2022-04-04,906345,1981,">Item 1. BusinessGeneralFormed on May 25, 1993, Camden Property Trust, a Texas real estate investment trust (“REIT”), and all its consolidated subsidiaries are primarily engaged in the ownership, management, development, redevelopment, acquisition, and construction of multifamily apartment communities. Unless the context requires otherwise, “we,” “our,” “us,” and the “Company” refer to Camden Property Trust and its consolidated subsidiaries. Our multifamily apartment communities are referred to as “communities,” “multifamily communities,” “properties,” or “multifamily properties” in the following discussion.Our website is located at www.camdenliving.com. We make available free of charge through our website, our annual report on Form 10-K, quarterly reports on Form 10-Q, and current reports on Form 8-K, and amendments to such reports, filed or furnished pursuant to Section 13(a) ",0.0
CPB,Campbell Soup Company,Consumer Staples,Packaged Foods & Meats,"Camden, New Jersey",1957-03-04,16732,1869,">Item 1. BusinessThe Company Unless otherwise stated, the terms ""we,"" ""us,"" ""our"" and the ""company"" refer to Campbell Soup Company and its consolidated subsidiaries.We are a manufacturer and marketer of high-quality, branded food and beverage products. We organized as a business corporation under the laws of New Jersey on November 23, 1922; however, through predecessor organizations, we trace our heritage in the food business back to 1869. Our principal executive offices are in Camden, New Jersey 08103-1799. ",0.0
KMX,CarMax,Consumer Discretionary,Automotive Retail,"Richmond, Virginia",2010-06-28,1170010,1993,">Item 1.  Business.BUSINESS OVERVIEWCarMax BackgroundCarMax, Inc. delivers an unrivaled customer experience by offering a broad selection of quality used vehicles and related products and services at competitive, no-haggle prices.  We are the nation’s largest retailer of used cars, and we sold 832,640 used vehicles at retail during the fiscal year ended February 29, 2020.  We are also one of the nation’s largest operators of wholesale vehicle auctions, with 466,177 vehicles sold during fiscal 2020, and one of the na",0.0
CTLT,Catalent,Health Care,Pharmaceuticals,"Somerset, New Jersey",2020-09-21,1596783,2007,">ITEM 1. BUSINESS Overview We are the leading global provider of advanced delivery technologies and development and manufacturing solutions for drugs; protein, cell, and gene therapy biologics; and consumer health products. Our oral, injectable, cell and gene therapy, and respiratory delivery technologies address the full diversity of the pharmaceutical industry, including small molecules; protein, cell, and gene therapy biologics; and consumer health products. Through our extensive capabilities and deep expertise in product development, we can help our customers take products to market faster, including nearly half of new drug products approved by the U.S. Food and Drug Administration (the “F",0.0
CBOE,Cboe Global Markets,Financials,Financial Exchanges & Data,"Chicago, Illinois",2017-03-01,1374310,1973,">Item 1.    BusinessThe following description of the business should be read in conjunction with the information included elsewhere in this Annual Report on Form 10-K for the year ended December 31, 2019. This description contains forward-looking statements that involve risks and uncertainties. Actual results could differ significantly from the results discussed in the forward-looking statements due to the factors set forth in “Risk Factors” and elsewhere in this Annual Report on Form 10-K.OverviewCboe Global Markets, Inc. is one of the world’s largest exchange holding companies, offering cutting-edge trading and investment solutions to investors around the world. The Company is committed to defining markets to benefit its participants and drive the global marketplace forward through product innovation, leading edge technology and seamless trading solutions.Cboe offers trading across a div",0.0
CBRE,CBRE Group,Real Estate,Real Estate Services,"Dallas, Texas",2006-11-10,1138118,1906,">Item 1.

Business. 
Company Overview
CBRE Group, Inc. is a Delaware corporation. References to “CBRE,” “the company,” “we,” “us” and “our” refer to CBRE Group, Inc. and include all of its consolidated subsidiaries, unless otherwise indicated or the context requires otherwise.
We are the world’s largest commercial real estate services and investment firm, based on 2019 revenue, with leading global market positions in our leasing, property sales, occupier outsourcing and valuation businesses. As of December 31, 2019, we operated in more than 530",0.0
CDW,CDW,Information Technology,Technology Distributors,"Lincolnshire, Illinois",2019-09-23,1402057,1984,">Item 1. BusinessOur CompanyCDW Corporation (together with its subsidiaries, the ""Company,"" ""CDW"" or ""we""), a Fortune 500 company and member of the S&P 500 Index, is a market-leading provider of integrated information technology (""IT"") solutions to small, medium and large business, government, education and healthcare customers in the United States (""US""), the United Kingdom (""UK"") and Canada. Our broad array of offerings ranges from discrete hardware and software products to integrated IT solutions such as mobility, security, data center optimization, cloud computing, virtualization and collaboration.We are technology ""agnostic,"" with a solutions portfolio including more than 100,000 products and services from more than 1,000 leading and emerging brands. Our solutions are delivered in physical, virt",0.0
CE,Celanese,Materials,Specialty Chemicals,"Irving, Texas",2018-12-24,1306830,1918,">Item 1. Business for a discussion of our investments in affiliates and their respective site locations.Item 3.  Legal ProceedingsThe Company is involved in legal and regulatory proceedings, lawsuits, claims and investigations incidental to the normal conduct of its business, relating to such matters as product liability, land disputes, insurance coverage disputes, contracts, employment, antitrust and competition, intellectual property, personal injury and other actions in tort, workers' compensation, chemical exposure, asbestos exposure, taxes, trade compliance, acquisitions and divestitures, claims of legacy stockholders, past waste disposal practices and release of chemicals into the environment. The Company is actively defending those matters where it is named as a defendant. Due to the inherent subjectivity of assessments and unpredictability of outcomes of legal proceedings, the Company's litigation accruals and estimates of possible loss or range of possible",0.0
CNC,Centene Corporation,Health Care,Managed Health Care,"St. Louis, Missouri",2016-03-30,1071739,1984,">ITEM 1. BusinessOVERVIEW We are a leading multi-national healthcare enterprise that is committed to helping people live healthier lives. We take a local approach - with local brands and local teams - to provide fully integrated, high-quality, and cost-effective services to government-sponsored and commercial healthcare programs, focusing on under-insured and uninsured individuals. We also provide education and outreach programs to inform and assist members in accessing quality, appropriate healthcare services. We believe our local approach, including member and provider services, enables us to provide accessible, quality, culturally-sensitive healthcare coverage to our communities. Our population health management, educational and other initiatives are designed to help members best utilize the healthcare ",0.0
CNP,CenterPoint Energy,Utilities,Multi-Utilities,"Houston, Texas",1985-07-31,1130310,1882,">Item 1.BusinessThis combined Form 10-K is filed separately by three registrants: CenterPoint Energy, Inc., CenterPoint Energy Houston Electric, LLC and CenterPoint Energy Resources Corp. Information contained herein relating to any individual registrant is filed by such registrant solely on its own behalf. Each registrant makes no representation as to information relating exclusively to the other registrants. Except as discussed in Note 14 to the consolidated financial statements, no registrant has an obligation in respect of any other registrant’s debt securities, and holders of such debt securities should not consider the financial resources or results of operations of any registrant other than the obligor in making a decision with respect to such securities. ",0.0
CDAY,Ceridian,Information Technology,Application Software,"Minneapolis, Minnesota",2021-09-20,1725057,1992,">Item 1. Business. 
Overview 
Ceridian is a global human capital management (“HCM”) software company. Dayforce, our flagship cloud HCM platform, provides human resources (“HR”), payroll, benefits, workforce management, and talent management functionality. In addition to Dayforce, we sell Powerpay, a cloud HR and payroll solution for the Canadian small business market, through both direct sales and established partner channels. We also continue to support customers using our Bureau solutions, which we generally stopped actively selling to new customers in 2012, following the acquisition of Dayforce. We invest in maintenance and necessary updates to support our Bureau customers and continue to migrate them to Dayforce. 
Products and Services
",0.0
CF,CF Industries,Materials,Fertilizers & Agricultural Chemicals,"Deerfield, Illinois",2008-08-27,1324404,1946,">ITEM 1.    BUSINESS. Our Company        All references to “CF Holdings,” “we,” “us,” “our” and “the Company,” refer to CF Industries Holdings, Inc. and its subsidiaries, except where the context makes clear that the reference is only to CF Industries Holdings, Inc. itself and not its subsidiaries. All references to “CF Industries” refer to CF Industries, Inc., a 100% owned subsidiary of CF Industries Holdings, Inc. Notes referenced throughout this document refer to consolidated financial statement note disclosures that are found in Item 8. Financial Statements and Supplementary Data—Notes to Consolidated Financial Statements.",0.0
CRL,Charles River Laboratories,Health Care,Life Sciences Tools & Services,"Wilmington, Massachusetts",2021-05-14,1100682,1947,">Item 1. BusinessGeneralThis Annual Report on Form 10-K contains forward-looking statements regarding future events and the future results of Charles River Laboratories International, Inc. that are based on our current expectations, estimates, forecasts and projections about the industries in which we operate and the beliefs and assumptions of our management. Words such as “expect,” “anticipate,” “target,” “goal,” “project,” “intend,” “plan,” “believe,” “seek,” “estimate,” “will,” “likely,” “may,” “designed,” “would,” “future,” “can,” “could” and other similar expressions that are predictions, indicate future events and trends or which do not relate to historical matters are intended to identify such forward-looking statements. These statement",0.0
SCHW,Charles Schwab Corporation,Financials,Investment Banking & Brokerage,"Westlake, Texas",1997-06-02,316709,1971,">Item 1. BusinessGeneral Corporate OverviewThe Charles Schwab Corporation (CSC) is a savings and loan holding company, headquartered in San Francisco, California. CSC was incorporated in 1986 and engages, through its subsidiaries (collectively referred to as Schwab or the Company), in wealth management, securities brokerage, banking, asset management, custody, and financial advisory services. At December 31, 2019, Schwab had $4.04 trillion in client assets, ",0.0
CHTR,Charter Communications,Communication Services,Cable & Satellite,"Stamford, Connecticut",2016-09-08,1091667,1993,">Item 1.  Business. Introduction We are the second largest cable operator in the United States and a leading broadband communications services company providing video, Internet and voice services to approximately 29.2 million residential and small and medium business customers at December 31, 2019.  We also offer mobile service to residential customers and recently launched mobile service to small and medium business customers.  In addition, we sell video and online advertising inventory to local, regional and national advert",0.0
CVX,Chevron Corporation,Energy,Integrated Oil & Gas,"San Ramon, California",1957-03-04,93410,1879,">Item 1. BusinessGeneral Development of BusinessSummary Description of Chevron Chevron Corporation,* a Delaware corporation, manages its investments in subsidiaries and affiliates and provides administrative, financial, management and technology support to U.S. and international subsidiaries that engage in integrated energy and chemicals operations. Upstream operations consist primarily of exploring for, developing and producing crude oil and natural gas; processing, liquefaction, transportation and regasification associated with liquefied natural gas; transporting crude oil by major international oil export pipelines; transporting, storage and marketing of natural gas; and a gas-to-liquids plant. Downstream operations consist p",-0.5405759215354919
CMG,Chipotle Mexican Grill,Consumer Discretionary,Restaurants,"Newport Beach, California",2011-04-28,1058090,1993,">ITEM 1.  BUSINESS GeneralChipotle Mexican Grill, Inc., a Delaware corporation, together with its subsidiaries (“Chipotle”, “we”, “us”, or “our”) operates Chipotle Mexican Grill restaurants, which feature a relevant menu of burritos, burrito bowls (a burrito without the tortilla), tacos, and salads. We are cultivating a better world by serving responsibly sourced, classically cooked, real food with wholesome ingredients without artificial colors, flavors or preservatives. We are passionate about providing a great guest experience and making our food more accessible to everyone while continuing to be a brand with a demonstrated purpose. Steve Ells, founder and executive chairman, first opened Chipotle with a single restaurant in Denver, Colorado in 1993. Over ",0.0
CB,Chubb Limited,Financials,Property & Casualty Insurance,"Zurich, Switzerland",2010-07-15,896159,1985,">ITEM 1.  Business GeneralChubb Limited is the Swiss-incorporated holding company of the Chubb Group of Companies. Chubb Limited, which is headquartered in Zurich, Switzerland, and its direct a",0.0
CI,Cigna,Health Care,Managed Health Care,"Bloomfield, Connecticut",1976-06-30,1739940,1982,">Item 1. BUSINESS OVERVIEW Cigna Corporation, together with its subsidiaries (either individually or collectively referred to as “Cigna,” the “Company,” “we,” “our” or “us”) is a global health service organization.  ",0.0
CTAS,Cintas,Industrials,Diversified Support Services,"Mason, Ohio",2001-03-01,723254,1929,">Item 1.  BusinessCintas Corporation (Cintas, Company, we, us or our), a Washington corporation, helps more than one million businesses of all types and sizes, primarily in the United States (U.S.), as well as Canada, Latin America, Europe and Asia, get READY™ to open their doors with confidence every day by providing a wide range of products and services that enhance our customers’ image and help keep their facilities and employees clean, safe and looking their best. With products and services including uniforms, mats, mops, restroom supplies, first aid and safety products, fire extinguishers and testing, and training and compliance courses, Cintas helps customers get Ready for the Workday",0.0
CSCO,Cisco,Information Technology,Communications Equipment,"San Jose, California",1993-12-01,858877,1984,">Item 1. Business of this report.Some of our competitors compete across many of our product lines, while others are primarily focused in a specific product area. Barriers to entry are relatively low, and new ventures to create products that do or could compete with our products are regularly formed. In addition, some of our competitors may have greater resources, including technical and engineering resources, than we do. As we expand into new markets, we will face competition not only from our existing competitors but also from other competitors, including existing companies with strong technological, marketing, and sales positions in those markets. We also sometimes face competition from resellers and distributors of our products. Companies with which we have strategic alliances in some areas may be competitors in other areas, and in our view this trend may increase. For example, the enterprise data center is undergoing a fundamental transformation arising from the convergence of technologies, including computing, networking, storage, and software, that previously were segregated. Due to several factors, including the availability of hi",0.0
CFG,Citizens Financial Group,Financials,Regional Banks,"Providence, Rhode Island",2016-01-29,759944,1828,">ITEM 1. BUSINESSCitizens Financial Group, Inc. is the 14th largest retail bank holding company in the United States.(1) Headquartered in Providence, Rhode Island, we offer a broad range of retail and commercial banking products and services to more than five million individuals, small businesses, middle-market companies, large corporations and institutions. Our products and services are offered through approximately 1,100 branches in 11 states in the New England, Mid-Atlantic and Midwest regions and approximately 135 retail and commercial non-branch offices, though certain lines of business serve national markets. At December 31, 2019, we had total assets of $165.7 billion, total deposits of $125.3 billion and total stockholders’ equity of $22.2 billion. We are a bank holding company incorporated under Delaware state law in 1984 and whose primary federal regulator is the FRB. On January 2, 2019, we consolidated ",0.0
CLX,Clorox,Consumer Staples,Household Products,"Oakland, California",1969-03-31,21076,1913,">ITEM 1.B. UNRESOLVED STAFF COMMENTSNone.ITEM 2. PROPERTIESThe Company owns or leases various manufacturing, distribution, office and research and development facilities, including a leased facility in Pleasanton, CA, which houses the Company’s primary research and development group, as well as other administrative and operational support personnel, and a leased office space in Oakland, CA for its corporate headquarters. Management believes the Company’s facilities are adequate to support the business efficiently. ",0.0
CME,CME Group,Financials,Financial Exchanges & Data,"Chicago, Illinois",2006-08-11,1156375,1848,">ITEM 1.BUSINESSCME Group enables clients to trade futures, options, cash and over-the-counter (OTC) markets, optimize portfolios, and analyze data - empowering market participants worldwide to efficiently manage risk and capture opportunities.GENERAL DEVELOPMENT OF BUSINESSCME was founded in 1898 as a not-for-profit corporation. It established CME Clearing as a division of CME in 1919. CME demutualized in 2000, and in 2002 its parent company completed its initial public offering of its Class A common stock (NASDAQ: CME). We subsequently acquired CBOT Holdings, Inc. in 2007, NYM",0.0
CMS,CMS Energy,Utilities,Multi-Utilities,"Jackson, Michigan",1999-05-03,811156,1886,">Item 1. Business—Information About CMS Energy’s and Consumers’ Executive Officers section, which is incorporated by reference herein.184Table of ContentsInformation that is required in Item 10 of this Form 10‑K regarding directors, executive officers, and corporate governance is incorporated by reference from CMS Energy’s and Consumers’ definitive proxy statement for their 2",0.0
KO,The Coca-Cola Company,Consumer Staples,Soft Drinks,"Atlanta, Georgia",1957-03-04,21344,1886,">ITEM 1.    BUSINESSIn this report, the terms ""The Coca-Cola Company,"" ""Company,"" ""we,"" ""us"" and ""our"" mean The Coca-Cola Company and all entities included in our consolidated financial statements.GeneralThe Coca-Cola Company is the world's largest nonalcoholic beverage company. We own or license and market more than 500 nonalcoholic beverage brands, which we group into the following category clusters: sparkling soft drinks; water, enhanced water and sports drinks; juice, dairy and plant-based beverages; tea and coffee; and energy drinks. We own and market four of the world's top five nonalcoholic sparkling soft drink brands: Coca-Cola, Diet Coke, Fanta and Sprite. Finished beverage products bearing our trademarks, sold in the United States since 1886, are now sold in more than ",0.0
CTSH,Cognizant,Information Technology,IT Consulting & Other Services,"Teaneck, New Jersey",2006-11-17,1058290,1994,">Item 1. BusinessOverviewCognizant is one of the world’s leading professional services companies, transforming clients’ business, operating and technology models for the digital era. Our services include digital services and solutions, consulting, application development, systems integration, application testing, application maintenance, infrastructure services and business process services. Digital services have become an increasingly important part of our portfolio, aligning with our clients' focus on becoming data-enabled, customer-centric and differentiated businesses. We tailor our services and solutions to specific industries with an integrated global delivery model that employs client service and delivery teams based at client locations and dedicated global and regional delivery centers. ",0.0
CL,Colgate-Palmolive,Consumer Staples,Household Products,"New York City, New York",1957-03-04,21665,1806,">ITEM 1.    BUSINESS(a) General Development of the BusinessColgate-Palmolive Company (together with its subsidiaries, the “Company” or “Colgate”) is a leading consumer products company whose products are marketed in over 200 countries and territories throughout the world. Colgate was founded in 1806 and incorporated under the laws of the State of Delaware in 1923.For recent business developments and other information, refer to the information set forth under the captions “Management’s Discussion and Analysis of Financial Condition and Results of Operations",0.0
CMA,Comerica,Financials,Diversified Banks,"Dallas, Texas",1995-12-01,28412,1849,">Item 1. Business.GENERALComerica Incorporated (“Comerica”) is a financial services company, incorporated under the laws of the State of Delaware in 1973, and headquartered in Dallas, Texas. Based on total assets as reported in the most recently filed Consolidated Financial Statements for Bank Holding Companies (FR Y-9C), it was among the 25 largest commercial United States (“U.S.”) financial holding companies. As of December 31, 2019, Comerica owned directly or indirectly all the outstanding common stock of 2 active banking subsidiaries (Comerica Bank, a Texas banking association, and Comerica Bank & Trust, National Association) and 29 non-banking subsidiaries. At December 31, 2019",0.0
CAG,Conagra Brands,Consumer Staples,Packaged Foods & Meats,"Chicago, Illinois",1983-08-31,23217,1919,">ITEM 1. BUSINESS
General Development of Business
Conagra Brands, Inc. (the ""Company"", ""Conagra Brands"", ""we"", ""us"", or ""our""), headquartered in Chicago, is one of North America's leading branded food companies. Guided by an entrepreneurial spirit, the Company combines a rich heritage of making great food with a sharpened focus on innovation. The Company's portfolio is evolving to satisfy people's changing food preferences. Its iconic brands such as Birds Eye®, Marie Callender's®, Banquet®, Healthy Choice®, Slim Jim®",0.0
STZ,Constellation Brands,Consumer Staples,Distillers & Vintners,"Victor, New York",2005-07-01,16918,1945,>ITEM 1. BUSINESSTable of ContentsExecutive officers of the Company are generally chosen or elected to their positions annually and hold office until the earlier of their removal or resignation or until their successors are chosen and qualified.Company Information,0.0
CPRT,Copart,Industrials,Diversified Support Services,"Dallas, Texas",2018-07-02,900075,1982,">Item 1.        BusinessCorporate InformationWe were incorporated in California in 1982, became a public company in 1994 and were reincorporated into Delaware in January 2012. Our principal executive offices are located at 14185 Dallas Parkway, Suite 300, Dallas, Texas 75254 and our telephone number there is (972) 391-5000. Our website is www.copart.com. The contents of our website are not incorporated by reference into this Form 10-K. We provide free of charge, through a link on our websit",0.0
CTVA,Corteva,Materials,Fertilizers & Agricultural Chemicals,"Indianapolis, Indiana",2019-06-03,1755672,2019,">ITEM 1.  BUSINESS, continuedAvailable InformationThe company's annual report on Form 10-K, quarterly reports on Form 10-Q, current reports on Form 8-K, and amendments to those reports are accessible on Corteva's website at http://www.corteva.com/ by clicking on the section labeled ""Investors"", then on ""Financial Information."" These reports are made available, without charge, as soon as is reasonably practicable after the company files or furnishes them electronically with the SEC.10",0.0
CSGP,CoStar Group,Industrials,Research & Consulting Services,"Washington, D.C.",2022-09-19,1057352,1987,">Item 1.BusinessIn this report, the words “we,” “our,” “us,” “CoStar” or the “Company” refer to CoStar Group, Inc. and its direct and indirect wholly owned subsidiaries. This report also refers to our websites, but information contained on those sites is not part of this report. CoStar Group, Inc., a Delaware corporation, founded in 1987, is the number one provider of information, analytics and online marketplaces to the commercial real estate industry in the United States (“U.S.”) and United Kingdom (“U.K.”) based on the fact that we offer the most comprehensive commercial real estate database available; have the largest research department in the industry; own and operat",0.0
CCI,Crown Castle,Real Estate,Specialized REITs,"Houston, Texas",2012-03-14,1051470,1994,">Item 1.      BusinessOverviewWe own, operate and lease shared communications infrastructure that is geographically dispersed throughout the U.S., including approximately (1) 40,000 towers and other structures, such as rooftops (collectively, ""towers""), and (2) 80,000 route miles of fiber primarily supporting small cell networks (""small cells"") and fiber solutions.  We refer to our towers, fiber and small cells assets collectively as ""communications infrastructure,"" and to our customers on our communications infrastructure as ""tenants.""  Our operating segments consist of (1) Towers and (2) Fiber.  Our core business is providing access, including space or capacity, to our shared communications infrastructure via long-term contracts in various forms, including lease, license, sublease and service agreements (collectively, ""te",0.0
CSX,CSX,Industrials,Railroads,"Jacksonville, Florida",1967-09-30,277948,1980,">Item 1.  BusinessCSX Corporation together with its subsidiaries (""CSX"" or the “Company”), based in Jacksonville, Florida, is one of the nation's leading transportation companies. The Company provides rail-based freight transportation services including traditional rail service, the transport of intermodal containers and trailers, as well as other transportation services such as rail-to-truck transfers and bulk commodity operations. CSX and the rail industry provide customers with access to an expansive and interconnected transportation network that plays a key role in North American commerce and is critical to the long-term economic success and improved global competitiveness of the United States. In addition, freight railroads provide the most economical and environmentally efficient means to transport goods over land. CSX Transportation, Inc.",-0.5016177296638489
CMI,Cummins,Industrials,Industrial Machinery,"Columbus, Indiana",1965-03-31,26172,1919,">ITEM 1.    BusinessOVERVIEWWe were founded in 1919 as Cummins Engine Company, a corporation in Columbus, Indiana and one of the first diesel engine manufacturers. In 2001, we changed our name to Cummins Inc. We are a global power leader that designs, manufactures, distributes and services diesel, natural gas, electric and hybrid powertrains and powertrain-related components including filtration, aftertreatment, turbochargers, fuel systems, controls systems, air handling systems, automated transmissions, electric power generation systems, batteries, electrified power systems, hydrogen generation and fuel cell products. We sell our products to original equipment manufacturers (OEMs), distributors, dealers and other customers worldwide. We serve our customers through a network of approximately ",0.0
CVS,CVS Health,Health Care,Health Care Services,"Woonsocket, Rhode Island",1957-03-04,64803,1996,">Item 1.  Business.OverviewCVS Health Corporation (“CVS Health”), together with its subsidiaries (collectively, the “Company,” “we,” “our” or “us”), is the nation’s premier health innovation company helping people on their path to better health. Whether in one of its pharmacies or through its health services and plans, CVS Health is pioneering a bold new approach to total health by making quality care more affordable, accessible, simple and seamless. CVS Health is community-based and locally focused, engaging consumers with the care they need when and where they need it. The Company has approximately 9,900 retail locations, approximately 1,100 walk-in medical clinics, a ",0.0
DHI,D.R. Horton,Consumer Discretionary,Homebuilding,"Arlington, Texas",2005-06-22,882184,1978,">ITEM 1.    BUSINESSD.R. Horton, Inc. is the largest homebuilding company in the United States as measured by number of homes closed. We construct and sell homes through our operating divisions in 88 markets across 29 states, primarily under the names of D.R. Horton, America’s Builder, Emerald Homes, Express Homes and Freedom Homes. Our common stock is included in the S&P 500 Index and listed on the New York Stock Exchange under the ticker symbol “DHI.” Unless the context otherwise requires, the terms “D.R. Horton,” the “Company,” “we” and “our” used herein refer to D.R. Horton, Inc., a Delaware corporation, and its predecessors and subsidiaries.Our homebuilding business began in 1978 in Fort Worth",0.0
DE,John Deere,Industrials,Agricultural & Farm Machinery,"Moline, Illinois",1957-03-04,315189,1837,">ITEM 1.BUSINESS.This Annual Report on Form 10-K contains forward-looking statements that are subject to risks and uncertainties. All statements other than statements of historical fact included in this Annual Report on Form 10-K are forward-looking statements. Forward-looking statements give our current expectations and projections relating to our financial condition, results of operations, plans, objectives, future performance and business. All forward-looking statements are subject to risks and uncertainties that may cause actual results to differ materially from those that we expected. Important factors that could cause actual results to differ materially from our expectations, or cautionary statements, and other important information about forward-looking statements are disclosed under Item 1A, “Risk Factors” and Item 7, “Management’s Discussion and Analysis of Financial Condition and Results of Operations–Safe Harbor Statement” in this Annual Report on Form 10-K.",0.0
DAL,Delta Air Lines,Industrials,Airlines,"Atlanta, Georgia",2013-09-11,27904,1929,">ITEM 1. BUSINESSGeneralWe are the leading U.S. global airline serving 200 million customers every year. We connect customers across our expansive global network to more than 300 destinations in over 50 countries. We are the world’s largest airline by total revenues and the most profitable with five consecutive years of $5 billion or more in pre-tax income. We are committed to industry-leading safety and reliability and are consistently among the industry’s best performers. Our employees provide world-class travel experiences for our customers and give back to the communities where they live, work and serve. Our people and service are our strongest competitive advantage creating significant customer satisfaction improvements. Other key competitive advantages include operational reliabil",0.0
XRAY,Dentsply Sirona,Health Care,Health Care Supplies,"Charlotte, North Carolina",2008-11-14,818479,2016 (1969),">Item 1. BusinessHistory and OverviewDENTSPLY SIRONA Inc. (“Dentsply Sirona” or the “Company”), is the world’s largest manufacturer of professional dental products and technologies, with a 133-year history of innovation and service to the dental industry and patients worldwide. Dentsply Sirona develops, manufactures, and markets a comprehensive solutions offering including dental equipment and dental consumable products under a strong portfolio of world class brands. The Company also manufactures and markets healthcare consumable products. As The Dental Solutions Company, Dentsply Sirona’s products provide innovative, high-quality and effective solutions to advance patient care and deliver better, safer and faster dentistry. Dentsply Sirona’s worldwide headquarters is located in Charlotte, North Carolina. The Company’s shares of common stock are listed in the United States on Nasdaq under the symb",0.0
DXCM,Dexcom,Health Care,Health Care Equipment,"San Diego, California",2020-05-12,1093557,1999,">Item 1 - BUSINESSOverviewWe are a medical device company primarily focused on the design, development and commercialization of continuous glucose monitoring, or CGM, systems for use by people with diabetes and by healthcare providers. We received approval from the United States (U.S.) Food and Drug Administration, or FDA, and commercialized our first product in 2006. We launched our latest generation system, the DexCom G6",0.0
FANG,Diamondback Energy,Energy,Oil & Gas Exploration & Production,"Midland, Texas",2018-12-03,1539838,2007,">ITEM 1.  BUSINESS AND PROPERTIESOverviewWe are an independent oil and natural gas company focused on the acquisition, development, exploration and exploitation of unconventional, onshore oil and natural gas reserves in the Permian Basin in West Texas. This basin, which is one of the major producing basins in the United States, is characterized by an extensive production history, a favorable operating environment, mature infrastructure, long reserve life, multiple producing horizons, enhanced recovery potential and a large number of operators. We began operations in December 2007 with our acquisition of 4,174 net acres in th",-0.5504684448242188
DLR,Digital Realty,Real Estate,Specialized REITs,"Austin, Texas",2016-05-18,1297996,2004,">ITEM 1.     BUSINESSThe CompanyDigital Realty Trust, Inc., through its controlling interest in Digital Realty Trust, L.P. (the Operating Partnership) and the subsidiaries of the Operating Partnership, (collectively, we, our, us or the Company) is a leading global provider of data center, colocation and interconnection solutions for customers across a variety of industry verticals ranging from cloud and information technology services, communications and social networking to financial services, manufacturing, energy, healthcare, and consumer products. Digital Realty Trust, L.P., a Maryland limited partnership, is the entity through which Digital Realty Trust, Inc., a Maryland corporation, conducts its business of owning, acquiring, developing and operating data centers.  Digital Realty Trust, Inc. operates as a REIT for federal income tax purposes.As of December 31, 2019, our portfolio consisted of 225 data centers (including 41 data centers held as investments in unconsolidated joint ventures), of which 147 are located in the United States, 41 are located in Europe, 19 are located in Latin America, 10 are located in",0.0
